graphNodes,density,expNo,delta,compressionRatio,executionTime,,,,,,,,,
32,95,7,0.9,1.526814,1.261827,,,,,,,,,
32,95,7,1,1.586885,1.282325,,,,,,,,,
32,95,8,0.5,1.063388,0.725822,,,,,,,,,
32,95,8,0.6,1.173703,1.001458,,,,,,,,,
32,95,8,0.7,1.253866,1.10377,,,,,,,,,
32,95,8,0.8,1.349515,1.180625,,,,,,,,,
32,95,8,0.9,1.520313,1.297905,,,,,,,,,
32,95,8,1,1.649153,1.33787,,,,,,,,,
32,95,9,0.5,1.06441,0.873989,,,,,,,,,
32,95,9,0.6,1.171875,0.980229,,,,,,,,,
32,95,9,0.7,1.254826,1.09842,,,,,,,,,
32,95,9,0.8,1.350415,1.196665,,,,,,,,,
32,95,9,0.9,1.528213,1.285211,,,,,,,,,
32,95,9,1,1.587948,1.299829,,,,,,,,,
32,95,10,0.5,1.063043,0.75184,,,,,,,,,
32,95,10,0.6,1.169856,0.988785,,,,,,,,,
32,95,10,0.7,1.255456,1.117075,,,,,,,,,
32,95,10,0.8,1.352697,1.195443,,,,,,,,,
32,95,10,0.9,1.528125,1.315468,,,,,,,,,
32,95,10,1,1.595432,1.305489,,,,,,,,,
32,98,1,0.5,1.096916,0.832041,,,,,,,,,
32,98,1,0.6,1.174528,1.003172,,,,,,,,,
32,98,1,0.7,1.262357,1.113598,,,,,,,,,
32,98,1,0.8,1.360656,1.210972,,,,,,,,,
32,98,1,0.9,1.546584,1.324394,,,,,,,,,
32,98,1,1,1.696763,1.365271,,,,,,,,,
32,98,2,0.5,1.098146,0.844705,,,,,,,,,
32,98,2,0.6,1.175029,1.004355,,,,,,,,,
32,98,2,0.7,1.265075,1.137414,,,,,,,,,
32,98,2,0.8,1.426346,1.253272,,,,,,,,,
32,98,2,0.9,1.56124,1.304878,,,,,,,,,
32,98,2,1,1.724315,1.368528,,,,,,,,,
32,98,3,0.5,1.097614,1.18344,,,,,,,,,
32,98,3,0.6,1.174014,1.009193,,,,,,,,,
32,98,3,0.7,1.312581,1.165316,,,,,,,,,
32,98,3,0.8,1.425352,1.249444,,,,,,,,,
32,98,3,0.9,1.559322,1.325938,,,,,,,,,
32,98,3,1,1.721088,1.362687,,,,,,,,,
32,98,4,0.5,1.097238,0.831479,,,,,,,,,
32,98,4,0.6,1.175148,0.998403,,,,,,,,,
32,98,4,0.7,1.261753,1.106967,,,,,,,,,
32,98,4,0.8,1.358413,1.21007,,,,,,,,,
32,98,4,0.9,1.546729,1.305649,,,,,,,,,
32,98,4,1,1.694539,1.365582,,,,,,,,,
32,98,5,0.5,1.098146,0.820689,,,,,,,,,
32,98,5,0.6,1.175029,0.990077,,,,,,,,,
32,98,5,0.7,1.263488,1.117015,,,,,,,,,
32,98,5,0.8,1.422316,1.275403,,,,,,,,,
32,98,5,0.9,1.554012,1.345173,,,,,,,,,
32,98,5,1,1.712585,1.367426,,,,,,,,,
32,98,6,0.5,1.098468,0.83717,,,,,,,,,
32,98,6,0.6,1.175644,1.001078,,,,,,,,,
32,98,6,0.7,1.264484,1.114882,,,,,,,,,
32,98,6,0.8,1.365986,1.210821,,,,,,,,,
32,98,6,0.9,1.559006,1.321719,,,,,,,,,
32,98,6,1,1.713311,1.329034,,,,,,,,,
32,98,7,0.5,1.098361,0.832591,,,,,,,,,
32,98,7,0.6,1.174065,1.003272,,,,,,,,,
32,98,7,0.7,1.260979,1.100394,,,,,,,,,
32,98,7,0.8,1.419492,1.23171,,,,,,,,,
32,98,7,0.9,1.550926,1.318123,,,,,,,,,
32,98,7,1,1.70339,1.367355,,,,,,,,,
32,98,8,0.5,1.097933,0.825079,,,,,,,,,
32,98,8,0.6,1.173256,1.009173,,,,,,,,,
32,98,8,0.7,1.313802,1.147823,,,,,,,,,
32,98,8,0.8,1.423131,1.244835,,,,,,,,,
32,98,8,0.9,1.552308,1.3271,,,,,,,,,
32,98,8,1,1.713073,1.349853,,,,,,,,,
32,98,9,0.5,1.098146,0.831129,,,,,,,,,
32,98,9,0.6,1.17366,1.007991,,,,,,,,,
32,98,9,0.7,1.263488,1.117546,,,,,,,,,
32,98,9,0.8,1.424328,1.259012,,,,,,,,,
32,98,9,0.9,1.554012,1.326979,,,,,,,,,
32,98,9,1,1.712585,1.349852,,,,,,,,,
32,98,10,0.5,1.098468,0.835487,,,,,,,,,
32,98,10,0.6,1.174269,1.025344,,,,,,,,,
32,98,10,0.7,1.262893,1.116284,,,,,,,,,
32,98,10,0.8,1.365986,1.207225,,,,,,,,,
32,98,10,0.9,1.556589,1.319446,,,,,,,,,
32,98,10,1,1.716239,1.338671,,,,,,,,,
64,80,1,0.5,1.05915,2.328488,,,,,,,,,
64,80,1,0.6,1.168349,4.643031,,,,,,,,,
64,80,1,0.7,1.263548,5.895359,,,,,,,,,
64,80,1,0.8,1.382089,6.867493,,,,,,,,,
64,80,1,0.9,1.53094,7.445748,,,,,,,,,
64,80,1,1,1.640182,7.810051,,,,,,,,,
64,80,2,0.5,1.056781,2.274006,,,,,,,,,
