graphNodes,density,expNo,delta,compressionRatio,executionTime,readTime,writeTime,mergeTime,cores
2048, 80, 1, 0.8, 2.613099, 0.4420, 0.1515, 0.2697, 0.0739, 8
2048, 80, 1, 0.8, 2.611403, 2.4898, 0.1231, 0.3351, 0.0785, 12
2048, 80, 1, 0.8, 2.611109, 2.5350, 0.1286, 0.3958, 2.1425, 16
2048, 80, 1, 0.8, 2.611393, 4.5987, 0.1086, 0.4252, 4.1873, 20
2048, 80, 1, 0.8, 2.609466, 0.5105, 0.1129, 0.4209, 0.1023, 24
2048, 80, 1, 0.8, 2.612472, 3.5831, 0.1001, 1.3746, 2.1872, 28
2048, 80, 1, 0.8, 2.610249, 2.6119, 0.1064, 0.4162, 2.1696, 32
2048, 80, 1, 0.8, 2.609860, 1.7626, 0.1115, 0.4503, 1.1748, 36
2048, 80, 1, 0.9, 2.888207, 0.5928, 0.2640, 0.1960, 0.0599, 4
2048, 80, 1, 0.9, 2.889915, 0.5508, 0.1647, 0.2899, 0.0981, 8
2048, 80, 1, 0.9, 2.887305, 0.5181, 0.1197, 0.3231, 0.0782, 12
2048, 80, 1, 0.9, 2.890687, 2.5687, 0.1200, 0.3799, 1.0959, 16
2048, 80, 1, 0.9, 2.889032, 1.5778, 0.1178, 0.3932, 1.1230, 20
2048, 80, 1, 0.9, 2.889425, 0.5662, 0.0978, 0.3919, 0.0952, 24
2048, 80, 1, 0.9, 2.888134, 0.5593, 0.1162, 0.3814, 0.1072, 28
2048, 80, 1, 0.9, 2.888269, 2.8827, 0.1096, 0.6458, 2.1691, 32
2048, 80, 1, 0.9, 2.888495, 2.7256, 0.0876, 0.4211, 2.1572, 36
2048, 80, 1, 1.0, 3.082752, 0.6946, 0.2697, 0.1886, 0.0588, 4
2048, 80, 1, 1.0, 3.082285, 0.5814, 0.1605, 0.2622, 0.0667, 8
2048, 80, 1, 1.0, 3.083375, 0.5906, 0.1241, 0.3263, 0.0771, 12
2048, 80, 1, 1.0, 3.081846, 1.6192, 0.1189, 0.3827, 1.1114, 16
2048, 80, 1, 1.0, 3.082492, 2.6688, 0.1099, 0.3994, 2.1266, 20
2048, 80, 1, 1.0, 3.083993, 2.7166, 0.1192, 0.4011, 2.1621, 24
2048, 80, 1, 1.0, 3.083010, 2.6934, 0.1629, 0.3933, 2.1609, 28
2048, 80, 1, 1.0, 3.082894, 0.6621, 0.1397, 0.4179, 0.1098, 32
2048, 80, 1, 1.0, 3.081954, 0.7261, 0.1626, 0.3954, 0.1031, 36
2048, 80, 1, 0.5, 1.916469, 0.5099, 0.2654, 0.2028, 0.0755, 4
2048, 80, 1, 0.5, 1.915896, 0.4009, 0.1591, 0.3049, 0.0802, 8
2048, 80, 1, 0.5, 1.916887, 2.4126, 0.1273, 0.3588, 2.1281, 12
2048, 80, 1, 0.5, 1.917099, 2.4204, 0.1338, 0.4287, 0.0980, 16
2048, 80, 1, 0.5, 1.916925, 2.3949, 0.1121, 0.4011, 2.1042, 20
2048, 80, 1, 0.5, 1.915847, 2.4455, 0.0992, 0.4267, 0.0892, 24
2048, 80, 1, 0.5, 1.915831, 2.4764, 0.0983, 0.4489, 2.1833, 28
2048, 80, 1, 0.5, 1.916780, 3.6963, 0.2118, 0.7926, 1.0749, 32
2048, 80, 1, 0.5, 1.916186, 3.6099, 0.0897, 0.4817, 3.1654, 36
2048, 80, 1, 0.6, 2.052391, 0.4994, 0.2684, 0.2173, 0.0702, 4
2048, 80, 1, 0.6, 2.053722, 0.3774, 0.1591, 0.3067, 0.0783, 8
2048, 80, 1, 0.6, 2.053460, 0.3715, 0.1225, 0.3872, 0.0757, 12
2048, 80, 1, 0.6, 2.053067, 2.4300, 0.1059, 0.4808, 2.1502, 16
